University,Motto,Language,Translation,text,country
University of Buenos Aires,Argentum virtus robur et studium,Latin,Argentine virtue is strength and study,Argentine virtue is strength and study,Argentina
Buenos Aires Institute of Technology,Ad Lucem Serenitate Tendo,Latin,To the light peacefully I go,To the light peacefully I go,Argentina
National University of Córdoba,Ut portet nomen meum coram gentibus,Latin,Carry my name to the people,Carry my name to the people,Argentina
National University of the South,Ardua Veritatem,Latin,Through the difficulties to the truth,Through the difficulties to the truth,Argentina
National University of Tucuman,Pedes in Terra ad Sidera Visus,Latin,Feet on the ground and sight to the universe,Feet on the ground and sight to the universe,Argentina
Australian Catholic University,Truth in Love,English,,Truth in Love,Australia
Australian National University,Naturam Primum Cognoscere Rerum,Latin,"First, [let him busy himself] to learn the nature of things. From Lucretius, De Rerum Natura, l. VI.","First, [let him busy himself] to learn the nature of things. From Lucretius, De Rerum Natura, l. VI.",Australia
Bond University,Bringing Ambition To Life,English,,Bringing Ambition To Life,Australia
Central Queensland University,Doctrina Perpetua,Latin,Forever Learning,Forever Learning,Australia
Curtin University of Technology,Look Ever Forward,English,NA,Look Ever Forward,Australia
Deakin University,Worldly,English,,Worldly,Australia
Federation University Australia,Learn to Succeed,English,,Learn to Succeed,Australia
Flinders University,Inspiring Achievement,English,,Inspiring Achievement,Australia
Griffith University,Know More. Do More.,English,,Know More. Do More.,Australia
James Cook University,Crescente Luce,Italian,Light ever increasing,Light ever increasing,Australia
La Trobe University,Qui cherche trouve,French,"Whoever seeks, finds. (Matthew 7:7)","Whoever seeks, finds. (Matthew 7:7)",Australia
Macquarie University,And Gladly Teche,Middle English,And gladly teach — from The Canterbury Tales,And gladly teach — from The Canterbury Tales,Australia
Monash University,Ancora imparo,Italian,I am still learning - Michelangelo.,I am still learning - Michelangelo.,Australia
Queensland University of Technology,A university for the real world,English,,A university for the real world,Australia
Royal Melbourne Institute of Technology,Perita manus mens exculta,Latin,[a] Skilled hand [and] cultivated mind,[a] Skilled hand [and] cultivated mind,Australia
Swinburne University of Technology,Factum per Litteras,Latin,Achievement through learning,Achievement through learning,Australia
University of Adelaide,Sub Cruce Lumen,Latin,The light [of learning] under the [Southern] Cross,The light [of learning] under the [Southern] Cross,Australia
University of Canberra,New Intelligence,English,,New Intelligence,Australia
The University of Melbourne,Postera Crescam Laude,Latin,"We grow in the esteem of future generations. (""I will grow in praise afterwards."") - Horace, Odes, l. III. 30.","We grow in the esteem of future generations. (""I will grow in praise afterwards."") - Horace, Odes, l. III. 30.",Australia
University of New England,Ex sapientia modus,Latin,Out Of Wisdom Comes Moderation,Out Of Wisdom Comes Moderation,Australia
University of New South Wales,Scientia Manu et Mente,Latin,Knowledge by Hand and Mind,Knowledge by Hand and Mind,Australia
University of Newcastle,I Look Ahead,English,,I Look Ahead,Australia
The University of Notre Dame Australia,In principio erat Verbum,Latin,In the beginning was the Word. [John 1:1],In the beginning was the Word. [John 1:1],Australia
University of Queensland,Scientia ac Labore,Latin,Through knowledge and hard work,Through knowledge and hard work,Australia
University of Southern Queensland,Per Studia Mens Nova,Latin,Through study the mind is made new,Through study the mind is made new,Australia
University of Sydney,Sidere mens eadem mutato,Latin,"The constellations change, [but] the mind [remains] the same[1]","The constellations change, [but] the mind [remains] the same[1]",Australia
University of Tasmania,Ingeniis Patuit Campus,Latin,The field is open to talent,The field is open to talent,Australia
"University of Technology, Sydney",Think. Change. Do,English,,Think. Change. Do,Australia
